DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
7B,BROWN,BROWN COUNTY REGULAR,"R & D OPERATING, INC.",685874,"BACON, SUE",G,090564,1,04932218,61
01,WILSON,ACLETO CREEK (POTH B),PACE OIL AND GAS COMPANY,631730,BIRD-LORENZ,O,09066,1,49331246,279
01,WILSON,ACLETO CREEK (POTH B),PACE OIL AND GAS COMPANY,631730,BIRD-LORENZ,O,09066,2,49331369,279
01,GUADALUPE,KENS (SERPENTINE),"THRALL OPERATING COMPANY, INC.",857150,"MCEVER,C.D. -D-",O,09068,7,18732400,279
01,GUADALUPE,KENS (SERPENTINE),"THRALL OPERATING COMPANY, INC.",857150,"MCEVER,C.D. -D-",O,09068,15,18733272,273
01,DIMMIT,APPURCEON (OLMOS),SOUTH COAST OIL & GAS CO.,802633,STUMBERG,G,090921,2,12732075,279
03,BRAZORIA,"OLD OCEAN, E. (10400)",D.C. ENERGY,196099,"CHRISTIAN, C.D. UNIT",G,091073,1,03930703,279
01,DIMMIT,APPURCEON (OLMOS),SOUTH COAST OIL & GAS CO.,802633,STUMBERG,G,091077,1,12732021,279
7B,CALLAHAN,CALLAHAN COUNTY REGULAR (GAS),SWEET TEXAS T ENERGY LLC,833255,BURNAM,G,091086,1,05930976,234
02,JACKSON,BROOKING (8650),UNOSO OPERATING COMPANY L.L.C.,878440,"BROOKING, GARLAND T.",G,091214,2,23931511,279
7C,TERRELL,OZONA (CANYON SAND),PATNO OIL & GAS COMPANY,643327,MITCHELL - STATE 22,G,091333,1,44330006,58
02,JACKSON,WILDCAT,SIGNAL OIL AND GAS COMPANY,780310,WATSON #3,O,09154,2,23933324,181
02,JACKSON,WILDCAT,SIGNAL OIL AND GAS COMPANY,780310,WATSON,O,09163,1,23933299,161
01,MILAM,MINERVA-ROCKDALE,STEDMAN OIL & GAS CO.,816730,"PRATT, S. C. ""B""",G,091648,2,33130988,279
01,MILAM,MINERVA-ROCKDALE,STEDMAN OIL & GAS CO.,816730,"STEDMAN, S. C. ""B""",G,091649,1,33130989,279
03,CHAMBERS,TURTLE BAY (LOTZ 6500),PHANTOM OIL & GAS,661328,"COOPER, WILLIAM HEIRS",G,091665,3,07101109,279
03,BRAZORIA,DAMON MOUND,"TERRY, R. K.",844053,MUNSON SUBDIVISION 5 ACRES,O,09183,1,03902220,279
7B,SHACKELFORD,SHACKELFORD COUNTY REGULAR (GAS),ROYAL TEXAN ENERGY CO.,732104,CHANEY,G,091929,1,41733606,226
01,DIMMIT,APPURCEON (OLMOS),TARINA OIL COMPANY,836120,LIFE SCIENCE CHURCH,G,092036,9152,12732129,279
7C,CROCKETT,ADAMS-BAGGETT RANCH (CANYON SD.),PATNO OIL & GAS COMPANY,643327,"SAVELL ""118""",G,092045,1,10532915,69
02,BEE,SINGLETON (3950),"CHESNUTT OIL & GAS, INC.",147755,"CARPENTER, J. R.",G,092153,1,02531595,279
7B,TAYLOR,TAYLOR COUNTY REGULAR,"CONTINUAL OIL & GAS, INC.",173790,NEWSOM-PARRISH,O,09233,1,44102259,217
7B,TAYLOR,TAYLOR COUNTY REGULAR,"CONTINUAL OIL & GAS, INC.",173790,NEWSOM-PARRISH,O,09233,2,44102257,108
02,VICTORIA,ANAQUA (3000),MIDWAY DRILLING CO.,566352,O'CONNOR,O,09240,1,46933956,92
02,LIVE OAK,"DINERO, WEST (PETTUS)","APEX ENERGY, INC.",027424,MCNEIL NORTH,O,09241,4,29734740,65
10,OCHILTREE,"FARNSWORTH, N. (MARMATON)","TT OPERATING, LLC",872252,WT,O,09242,1,35732832,70
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,092493,F  2,70230146,279
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,092494,F  3,70230153,279
